Vardas                   Pavarde                         ND1       ND2       ND3       ND4       ND5       ND6       ND7      Egz.
Vardas4458               Pavarde4458                       1         2         7         2         7         1         7         1
Vardas4459               Pavarde4459                       1         5         2         1         8         5         3         5
Vardas4460               Pavarde4460                       7         5         7         7         9         2         2         5
Vardas4461               Pavarde4461                       5         9         2         3         4         4         4         4
Vardas4462               Pavarde4462                       2         1         3         3         9         8         7         9
Vardas4463               Pavarde4463                       5         6         2         9        10         3         4         4
Vardas4464               Pavarde4464                       1         9         6         8         8         5         9         7
Vardas4465               Pavarde4465                       1         9        10         3         6         4         4         3
Vardas4466               Pavarde4466                       9         1         3         7         1         6         8         7
Vardas4467               Pavarde4467                       5         9         1         7         4         5         8         1
Vardas4468               Pavarde4468                       1         6         8         6        10         2         9         4
Vardas4469               Pavarde4469                       6         6         9         7         7         2         8         4
Vardas4470               Pavarde4470                       8         8         7         2         2         3         4         6
Vardas4471               Pavarde4471                       1         8         8         1         7         3         6         4
Vardas4472               Pavarde4472                      10         7         4         8         9         4         2         3
Vardas4473               Pavarde4473                       2         5        10         9         1         8         5         1
Vardas4474               Pavarde4474                       8         7         7         8         3        10         5         5
Vardas4475               Pavarde4475                       1         7         6         4         9         2         4         9
Vardas4476               Pavarde4476                      10         8         8        10         4         4         5         6
Vardas4477               Pavarde4477                       6         8         1        10         6         8         2         2
Vardas4478               Pavarde4478                       8        10         4         1         6         5         8        10
Vardas4479               Pavarde4479                       6        10         7         8         3         6         2         2
Vardas4480               Pavarde4480                       4         6         3         3         2         7        10         3
Vardas4481               Pavarde4481                       4         2         2         9        10         6         6         3
Vardas4482               Pavarde4482                       8         8         9         2         1         5         7         6
Vardas4483               Pavarde4483                       5         1         9         8         2         6         4         5
Vardas4484               Pavarde4484                      10        10         8         6         8         9         2         5
Vardas4485               Pavarde4485                       1         6         8         1         1         2         3         5
Vardas4486               Pavarde4486                       2         3         1         5         7         4        10         7
Vardas4487               Pavarde4487                       2         5         4         4         6        10         6         1
Vardas4488               Pavarde4488                      10         6         1        10         8         4         9         3
Vardas4489               Pavarde4489                       9         5         7         3         9         1         3         7
Vardas4490               Pavarde4490                       6         4         8         6         4         3         5         4
Vardas4491               Pavarde4491                       1         3         7         8        10        10         6         1
Vardas4492               Pavarde4492                       9         5         3         1         4         9         9         4
Vardas4493               Pavarde4493                       6         7         8         3         9         9         4         8
Vardas4494               Pavarde4494                       4         6         8         1         5         3         7        10
Vardas4495               Pavarde4495                       8         1         9         2         7         7         5         8
Vardas4496               Pavarde4496                       2         7         2         2         1         5         4         6
Vardas4497               Pavarde4497                       2         7         1         9         5         2         2         1
Vardas4498               Pavarde4498                       2         4         3         6         8         8         7         1
Vardas4499               Pavarde4499                       2         1         3         2         2        10         5         5
Vardas4500               Pavarde4500                       1         5         7         6         4         1         1         8
Vardas4501               Pavarde4501                      10         2         3         4         2         6         7         7
Vardas4502               Pavarde4502                       5         3         3         1         7         8        10         3
Vardas4503               Pavarde4503                       6         6         6         1         2         8         7         4
Vardas4504               Pavarde4504                       1         9         2         1         2         5         4         6
Vardas4505               Pavarde4505                       1         7         6         3         9         3         4         5
Vardas4506               Pavarde4506                       9         7         9         3         6         7         4         5
Vardas4507               Pavarde4507                       7         1         9         9         8        10         9         6
Vardas4508               Pavarde4508                      10         2         5         2         2         5         1         9
Vardas4509               Pavarde4509                      10         6         1         6         7         4         3         2
Vardas4510               Pavarde4510                       9        10        10         1         4         3         5         6
Vardas4511               Pavarde4511                       5         9         9         1         3         4         1         8
Vardas4512               Pavarde4512                       3        10         9         1         8         5         4         7
Vardas4513               Pavarde4513                       4         2         4         9         2         7         7         9
Vardas4514               Pavarde4514                       9         3         2         8         9         3         9         7
Vardas4515               Pavarde4515                       2        10         3         7         4         2         3         5
Vardas4516               Pavarde4516                      10        10         5         4         8         6         7         4
Vardas4517               Pavarde4517                       7         1         8         7         8         8        10         3
Vardas4518               Pavarde4518                       5         7         8        10         3         3         6        10
Vardas4519               Pavarde4519                       3         8        10         3         6         3         3         1
Vardas4520               Pavarde4520                       1        10         7         2         4         5         6         7
Vardas4521               Pavarde4521                       7         4         3         3         6         3        10         3
Vardas4522               Pavarde4522                       6         4         2         7         2         1         3         4
Vardas4523               Pavarde4523                       2         4         5         9         3         5         8         4
Vardas4524               Pavarde4524                       9         7         8         1         7         3         3         5
Vardas4525               Pavarde4525                       3         2         8         9         2         9         7         8
Vardas4526               Pavarde4526                       3         7         3         5         1         4         9         2
Vardas4527               Pavarde4527                       8         8         3         2         5         1         2         8
Vardas4528               Pavarde4528                       3         1         3         7         3         7         6        10
Vardas4529               Pavarde4529                       5        10         1         3         6         3         9         3
Vardas4530               Pavarde4530                       1         8        10         8         7         9         8         9
Vardas4531               Pavarde4531                       9         3         7         8         4         9        10         6
Vardas4532               Pavarde4532                       6         1         6         9         5         9         2         2
Vardas4533               Pavarde4533                       7         6         6         8         8         1         5         7
Vardas4534               Pavarde4534                       3         8        10         2        10         7         8         6
Vardas4535               Pavarde4535                       9         5         1         1         9         5         7         6
Vardas4536               Pavarde4536                       7         5         3         5         5         9         1         7
Vardas4537               Pavarde4537                       9         7         1        10        10         8         5         8
Vardas4538               Pavarde4538                       8         1         9        10         1         5         6         1
Vardas4539               Pavarde4539                       9         5        10         7         9         2         6         1
Vardas4540               Pavarde4540                       4         6         2         4         3         5         8         2
Vardas4541               Pavarde4541                       2         7         2         2         3         8         3         2
Vardas4542               Pavarde4542                       9         3         4         3         2         7        10         6
Vardas4543               Pavarde4543                      10         4         4         8         3         8         8         3
Vardas4544               Pavarde4544                       2         6         9         6         3         5         5         2
Vardas4545               Pavarde4545                      10         6         1         9        10         3         6         5
Vardas4546               Pavarde4546                       9        10         4         7        10         5         1         1
Vardas4547               Pavarde4547                       4         4         1         5         2        10         2        10
Vardas4548               Pavarde4548                       4         2         3         6         5         8         2         1
Vardas4549               Pavarde4549                       8        10         7         4        10         6         9         5
Vardas4550               Pavarde4550                       1         3         5         7         6         3         4         1
Vardas4551               Pavarde4551                       3         4         8         4         3        10         8         2
Vardas4552               Pavarde4552                       9         1         7         9         8         6         3         9
Vardas4553               Pavarde4553                       9         9         3         1         3         1         8         6
Vardas4554               Pavarde4554                       9         4         3         1         4        10        10         5
Vardas4555               Pavarde4555                       3        10         9         9        10         4         7         3
Vardas4556               Pavarde4556                       3         4         2         5         9         6         4         7
Vardas4557               Pavarde4557                       6         8        10         8         6         6         3        10
Vardas4558               Pavarde4558                       4         1        10         4         2         1         6         1
Vardas4559               Pavarde4559                       3         6         3         9         4         5         2         5
Vardas4560               Pavarde4560                       1         3         9         1         9        10         6         3
Vardas4561               Pavarde4561                       9         1         1        10         4        10         5        10
Vardas4562               Pavarde4562                       9         7         5         7         8         9         4         4
Vardas4563               Pavarde4563                       6         8         7         4         9         7         8        10
Vardas4564               Pavarde4564                       6         6         9         1         6         6        10        10
Vardas4565               Pavarde4565                       2         4         9         1         5         4         5         4
Vardas4566               Pavarde4566                       8         5         3         8         3         4         9         9
Vardas4567               Pavarde4567                       2         2         8         3         9         9         4         8
Vardas4568               Pavarde4568                       2         6         3         7         4         9        10         7
Vardas4569               Pavarde4569                       9         3         3         7         6         6         6         2
Vardas4570               Pavarde4570                       1         9         5         5         1         3         2         7
Vardas4571               Pavarde4571                      10         9         1         9         9         3         4         5
Vardas4572               Pavarde4572                       7         3         6        10         5         5         4        10
Vardas4573               Pavarde4573                       3         9         3        10         7        10        10         8
Vardas4574               Pavarde4574                       4         4         7         4         7         6         9         6
Vardas4575               Pavarde4575                       8         7         2         6         4         5         1         8
Vardas4576               Pavarde4576                       9         1         1         4         6         2         7         5
Vardas4577               Pavarde4577                       4         8         8         6         6         8         5         1
Vardas4578               Pavarde4578                      10         7         2         8         4         9         8         4
Vardas4579               Pavarde4579                       5        10         6         3         6         4         4         3
Vardas4580               Pavarde4580                       7         4         7         2         9         5         5         8
Vardas4581               Pavarde4581                       1         9         2         1         5         8         8         4
Vardas4582               Pavarde4582                       9         8         1         5         3         8         5         5
Vardas4583               Pavarde4583                       3         9         5        10         2         9        10         3
Vardas4584               Pavarde4584                       3         6         3         7         3         7         6         8
Vardas4585               Pavarde4585                       8         5         6         7         4        10         9         6
Vardas4586               Pavarde4586                       6         2         7         2         3         5         8         8
Vardas4587               Pavarde4587                       4        10         2         2        10         8         1         7
Vardas4588               Pavarde4588                       5         2         5        10         2        10         6         2
Vardas4589               Pavarde4589                       3         9         3         7        10         7         4         7
Vardas4590               Pavarde4590                       9         1         2         1         1         3         4        10
Vardas4591               Pavarde4591                       2         5        10         7         9         9         6         1
Vardas4592               Pavarde4592                       2         8         9         5         8         4         2        10
Vardas4593               Pavarde4593                       3         8         2         1        10         6         5         8
Vardas4594               Pavarde4594                       1         2         6         1         4         9         4         2
Vardas4595               Pavarde4595                       7        10         1         9         7         1         2         7
Vardas4596               Pavarde4596                      10         2         5         9         5         1         2         4
Vardas4597               Pavarde4597                       3         9         1         1         5         2         1        10
Vardas4598               Pavarde4598                       1         4         5         8         3         3         8         7
Vardas4599               Pavarde4599                       5         3         3         5         2         4         9         4
Vardas4600               Pavarde4600                       1         1         5         4        10         7        10         4
Vardas4601               Pavarde4601                       8         5         8         2         5         7         3         2
Vardas4602               Pavarde4602                       5        10         1         6         5         3        10         3
Vardas4603               Pavarde4603                       2        10         4         2         2         4         3         7
Vardas4604               Pavarde4604                       3         7         9         9         2         1         2         2
Vardas4605               Pavarde4605                       2         7         4         7         2         6         7         5
Vardas4606               Pavarde4606                       1         9         6         6         2         3         2         2
Vardas4607               Pavarde4607                       3         2         3         4         6         9        10         9
Vardas4608               Pavarde4608                       3         7         7         5         9         9         2         1
Vardas4609               Pavarde4609                       2         7         4         8         2         1         5         1
Vardas4610               Pavarde4610                       5         3         8         2         5         5         2         9
Vardas4611               Pavarde4611                       5        10         2         4         1         1         5         6
Vardas4612               Pavarde4612                       6         9         3         9         4         6         6         3
Vardas4613               Pavarde4613                       6         1         9         9         7         8         6         6
Vardas4614               Pavarde4614                       4         1         7         1        10         6         8         4
Vardas4615               Pavarde4615                       3         8         8         3         3         8         8         9
Vardas4616               Pavarde4616                       1         3        10         1         4        10         7         1
Vardas4617               Pavarde4617                       6         8         2         7         8         2         6         9
Vardas4618               Pavarde4618                       4         6         6         4        10         9         9         5
Vardas4619               Pavarde4619                       7         2         3        10        10         4         2         7
Vardas4620               Pavarde4620                       5         5         4        10         9         8         1         2
Vardas4621               Pavarde4621                       6         2         3         9         8         8         8        10
Vardas4622               Pavarde4622                       8         4         3         1         1         5         1         5
Vardas4623               Pavarde4623                       2         2         4         6         1         7         2         8
Vardas4624               Pavarde4624                       9         8         6         3         2         2         4         3
Vardas4625               Pavarde4625                      10         8         3         3         3         7         3         1
Vardas4626               Pavarde4626                       9         1        10         5         5         9         6        10
Vardas4627               Pavarde4627                      10         4        10         1         8         1         9         6
Vardas4628               Pavarde4628                       6         4         6         2         6         7         3         2
Vardas4629               Pavarde4629                       4        10         6         5         5         8         8        10
Vardas4630               Pavarde4630                      10         1         9         3         3         9         9         1
Vardas4631               Pavarde4631                       7         3         8         2         5         4         2         2
Vardas4632               Pavarde4632                      10         9         4         7         9         1         9         1
Vardas4633               Pavarde4633                       5         8        10         7         6         1         9        10
Vardas4634               Pavarde4634                       7         9         1         3         9         1         8         4
Vardas4635               Pavarde4635                       2         7         3         3         3         2         5         5
Vardas4636               Pavarde4636                       4         4         3         1         3         9         6         9
Vardas4637               Pavarde4637                       1         3         2         4         3         5         6        10
Vardas4638               Pavarde4638                       9         1         6         9         2         9         7         9
Vardas4639               Pavarde4639                       9         2        10         7         6         8         8         1
Vardas4640               Pavarde4640                       3         7         1         4         3         9         3        10
Vardas4641               Pavarde4641                       6         7         4         3         8        10        10         1
Vardas4642               Pavarde4642                       5         7         1         4         2        10         1        10
Vardas4643               Pavarde4643                       5         9         2         2         3         5         6         6
Vardas4644               Pavarde4644                      10         5         8         5         5         5         2         1
Vardas4645               Pavarde4645                       2         3         1         1         5         5         4        10
Vardas4646               Pavarde4646                       8         3         6        10         9         8         4         5
Vardas4647               Pavarde4647                       8         9         3         7         3         4         9        10
Vardas4648               Pavarde4648                       4         4         2         4        10         4        10         7
Vardas4649               Pavarde4649                       1         9         7         1         4         8         5         4
Vardas4650               Pavarde4650                       1         7         7         8         8         7         7         6
Vardas4651               Pavarde4651                       8         5         3         9         7        10         4         9
Vardas4652               Pavarde4652                       9         3         8         1         5         2         4         2
Vardas4653               Pavarde4653                       5         1         1         3         4         2         1         5
Vardas4654               Pavarde4654                       3         5        10        10         2        10         1         3
Vardas4655               Pavarde4655                       5        10         2        10        10         8         7         3
Vardas4656               Pavarde4656                       8         3         1         7         1         8         6         9
Vardas4657               Pavarde4657                       9         9         3         7         9         6         4         8
Vardas4658               Pavarde4658                      10         5        10         9         2         6        10         8
Vardas4659               Pavarde4659                       1         2         1        10         9         5         2         7
Vardas4660               Pavarde4660                       1         3         7         9         2         4         9         6
Vardas4661               Pavarde4661                       2         8         8         5         1         6         1         5
Vardas4662               Pavarde4662                       8         5         4         2        10        10         8         4
Vardas4663               Pavarde4663                       5         5        10         7         6         8         2         9
Vardas4664               Pavarde4664                       6         8         2        10        10        10         9         8
Vardas4665               Pavarde4665                       3         9         4         6         2         6         1         7
Vardas4666               Pavarde4666                       4         8         9         9         4         8         8         2
Vardas4667               Pavarde4667                       3         5         9         7         3         9         4         5
Vardas4668               Pavarde4668                       9         3         5         9        10         3         2        10
Vardas4669               Pavarde4669                       8        10         4         7         6         4         5         1
Vardas4670               Pavarde4670                       4         2        10         9        10         2         9         9
Vardas4671               Pavarde4671                       2         9         5         6         5         6         8         7
Vardas4672               Pavarde4672                       2         2         5         1         4         4         7         6
Vardas4673               Pavarde4673                       6         7         4         4         3         7         2         1
Vardas4674               Pavarde4674                       5         3         5         7        10         7         9         8
Vardas4675               Pavarde4675                       5         9         4         8         8         7         9         8
Vardas4676               Pavarde4676                      10         3         2         4         2         2         7         7
Vardas4677               Pavarde4677                       8        10         8         7         9         2         3        10
Vardas4678               Pavarde4678                       8         5         6         8         2        10         8         7
Vardas4679               Pavarde4679                       5         8         5        10         1         4         5        10
Vardas4680               Pavarde4680                       5        10         1         9         6         2        10         7
Vardas4681               Pavarde4681                      10         5         1         9         9         8         8         2
Vardas4682               Pavarde4682                       2         6         8         3         4         1         4         2
Vardas4683               Pavarde4683                       1         3         8         1         4         6         5         5
Vardas4684               Pavarde4684                       8        10         1         9         5         8         9         4
Vardas4685               Pavarde4685                       3         5         8        10         1         5         2         4
Vardas4686               Pavarde4686                       3         1         1         7         2         1         1         6
Vardas4687               Pavarde4687                       7         3         8         8         4         3         3         3
Vardas4688               Pavarde4688                      10         7         9         5         9         1         6         8
Vardas4689               Pavarde4689                       4        10         6         6         4         3        10         5
Vardas4690               Pavarde4690                       5         7         9         2         5         9         8         8
Vardas4691               Pavarde4691                       6         2         8         2         9         2         3         4
Vardas4692               Pavarde4692                       6         6         8         1         9         7         9         3
Vardas4693               Pavarde4693                       1         6         4         1         9         7         4         9
Vardas4694               Pavarde4694                       7         8         4         1         5         1         4         1
Vardas4695               Pavarde4695                       4         4         2         7         7         8         6         3
Vardas4696               Pavarde4696                       2        10         1         5         5         7        10         8
Vardas4697               Pavarde4697                       7         6         4         5         5         8         1         4
Vardas4698               Pavarde4698                       3        10         1         6         8         3        10         7
Vardas4699               Pavarde4699                       4         6        10         2         7        10         7         1
Vardas4700               Pavarde4700                       8         1         6         2         4        10         7         5
Vardas4701               Pavarde4701                       5         5         5         1         8         6         4         1
Vardas4702               Pavarde4702                       3        10         3         9         5         2         5         4
Vardas4703               Pavarde4703                       6         7         9         7         5         7         5         6
Vardas4704               Pavarde4704                       5        10         1        10        10         2         1         2
Vardas4705               Pavarde4705                       5         1        10         3         6         2         9         4
Vardas4706               Pavarde4706                       6         6         6        10         6         8         7         3
Vardas4707               Pavarde4707                       8         8         5        10         5         5         5         1
Vardas4708               Pavarde4708                       9         6        10         5         8         4         9         7
Vardas4709               Pavarde4709                       1         1         6         7         5         7         3         8
Vardas4710               Pavarde4710                       4         4         5         4         6         8         9         2
Vardas4711               Pavarde4711                      10         9        10         1         6        10         3        10
Vardas4712               Pavarde4712                       2         4         1         1         4         8         1         4
Vardas4713               Pavarde4713                       5         7         4         2         8         8         9         8
Vardas4714               Pavarde4714                       2         5         4         1         4         2         3         2
Vardas4715               Pavarde4715                       5         3         9        10         1         8         8         8
Vardas4716               Pavarde4716                       7         6         7         3         2         6         9         3
Vardas4717               Pavarde4717                       8         7         3         6         5         5         8        10
Vardas4718               Pavarde4718                       2        10         2         7         5         5         8         8
Vardas4719               Pavarde4719                       5        10         6         7         8         2         7         9
Vardas4720               Pavarde4720                       8         8         2         6        10         1         8         2
Vardas4721               Pavarde4721                      10         1         1         9         9         1         2         9
Vardas4722               Pavarde4722                       4         1        10        10        10        10         6         9
Vardas4723               Pavarde4723                       1        10        10         9         3         3         4         6
Vardas4724               Pavarde4724                       3         6         7         7         4         8         6         4
Vardas4725               Pavarde4725                       8         1         2         5         1         3         7         8
Vardas4726               Pavarde4726                       5         6         6        10         8         4         4         6
Vardas4727               Pavarde4727                       2         3         9         6        10         4         1         4
Vardas4728               Pavarde4728                       9         1         7         1         5         3         6         4
Vardas4729               Pavarde4729                       8         4         5         4         8        10        10         3
Vardas4730               Pavarde4730                       3         5         3         2         6         5         7         9
Vardas4731               Pavarde4731                       2         6         4         9        10         8         7         1
Vardas4732               Pavarde4732                      10         2         8         9         1         3         2         3
Vardas4733               Pavarde4733                       2         2         1         2         4         5         3         1
Vardas4734               Pavarde4734                       1         8         9         8         3         2         3        10
Vardas4735               Pavarde4735                       7         1        10        10         1         3         5         7
Vardas4736               Pavarde4736                       1         5        10         2         1         2         8         9
Vardas4737               Pavarde4737                       8        10         8         9         1         8         5         4
Vardas4738               Pavarde4738                       6         2         4        10         7         4        10         4
Vardas4739               Pavarde4739                       4         2         4         1        10         9         2         2
Vardas4740               Pavarde4740                       5         1         3        10         7         4         4         7
Vardas4741               Pavarde4741                       3         1         8         9         3         9         7        10
Vardas4742               Pavarde4742                       9         9         7         9         5         9         5         2
Vardas4743               Pavarde4743                       1         1         5         3         6         5         8         1
Vardas4744               Pavarde4744                       8         2         5         1         5         3         4         1
Vardas4745               Pavarde4745                      10         2         5         9         1        10         4         1
Vardas4746               Pavarde4746                       2         3         8         1         6         5         2         1
Vardas4747               Pavarde4747                       8         4         8         5         4         2         7         7
Vardas4748               Pavarde4748                       9         9         3         8         7         1         6         8
Vardas4749               Pavarde4749                       5        10         5         4         2         3         6         4
Vardas4750               Pavarde4750                       6         7         4         6         6        10         1         9
Vardas4751               Pavarde4751                      10         3         3         1         5         6         4         3
Vardas4752               Pavarde4752                       1        10         8         2         9         6         6         5
Vardas4753               Pavarde4753                       5         8         2         6         4         6         5         5
Vardas4754               Pavarde4754                       2         3         5         4         6         7        10         4
Vardas4755               Pavarde4755                       7         5         2         3         6         6         5         5
Vardas4756               Pavarde4756                       8         6         3         6         7         6         4         4
Vardas4757               Pavarde4757                       1         2         2         6         4         4         7        10
Vardas4758               Pavarde4758                       4         3         8         8         3         6         1         1
Vardas4759               Pavarde4759                       7         6         5         7         6        10         2         8
Vardas4760               Pavarde4760                       8         7         6         3         6         6         1         9
Vardas4761               Pavarde4761                       2         5         4         5         8         8         6         3
Vardas4762               Pavarde4762                       8         5         9         1         1         4         1         2
Vardas4763               Pavarde4763                      10        10         9         5         8        10         9         4
Vardas4764               Pavarde4764                       6         8         3        10         2         8         2         7
Vardas4765               Pavarde4765                       2         4         7         9         7         9         2         4
Vardas4766               Pavarde4766                       3         2         4         8         9         8         2         5
Vardas4767               Pavarde4767                       2        10         6         7        10         3         6         3
Vardas4768               Pavarde4768                       1         1         2        10         1         3         1         3
Vardas4769               Pavarde4769                       2         4         3        10         1         6         6         3
Vardas4770               Pavarde4770                       7         2        10         4         3         1         7         5
Vardas4771               Pavarde4771                      10         4         8         4         9         8         2        10
Vardas4772               Pavarde4772                       4         2         3         6         6         6         2         2
Vardas4773               Pavarde4773                       8         2         4         2         6         8         3         6
Vardas4774               Pavarde4774                       3         4        10         4         6         6         8        10
Vardas4775               Pavarde4775                       1         3         3         4         8         8         4         9
Vardas4776               Pavarde4776                       7         8         5         4         1         5         9         5
Vardas4777               Pavarde4777                       4         8         4         7         7        10         7         6
Vardas4778               Pavarde4778                       3         5         4         6         6         9         7         8
Vardas4779               Pavarde4779                       5         4         3         3         1         6         1         9
Vardas4780               Pavarde4780                       4         7         4         2         6         7         1         9
Vardas4781               Pavarde4781                      10         3         8         5        10         1         7         9
Vardas4782               Pavarde4782                       5         4         9         7         4         7         6         1
Vardas4783               Pavarde4783                       2         2         2         6         4         9         7         3
Vardas4784               Pavarde4784                       8         2         3         4         6         7        10         2
Vardas4785               Pavarde4785                      10         7         6         9         6         6         5         5
Vardas4786               Pavarde4786                       7         5         1         6         7         3         3         8
Vardas4787               Pavarde4787                       8        10         2         8         7         9         9         7
Vardas4788               Pavarde4788                       5         2         3         7         1         6         7         7
Vardas4789               Pavarde4789                       9         7         5         9         5         6         2         4
Vardas4790               Pavarde4790                       9        10         4         1         6         4        10         8
Vardas4791               Pavarde4791                       8         7         6         6         5        10         5         2
Vardas4792               Pavarde4792                       7         1        10         7         3         5         4         7
Vardas4793               Pavarde4793                       9        10        10         4        10        10         2         7
Vardas4794               Pavarde4794                       9         9         5         6         3         5         1         7
Vardas4795               Pavarde4795                      10        10         8        10         9         9         7         3
Vardas4796               Pavarde4796                       1         3         6         5         6        10         7        10
Vardas4797               Pavarde4797                       5         6         9         8        10         7         4         4
Vardas4798               Pavarde4798                       5         3         2         3        10         5         3         8
Vardas4799               Pavarde4799                       1         9         3         6         5         3         1         5
Vardas4800               Pavarde4800                       5         1         4         3         5         9        10         5
Vardas4801               Pavarde4801                      10         1         3         8         7         9         4         1
